## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/aligned_bam_files/C012_S12.sorted.bam] OUTPUT=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C012_S12.sorted_dedup.bam METRICS_FILE=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C012_S12.sorted_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 08 20:40:10 EAT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C012_S12	19	123739	2484	1045	11	98757	94	0.79809	25166

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.99999
2.0	1.007311
3.0	1.007365
4.0	1.007365
5.0	1.007365
6.0	1.007365
7.0	1.007365
8.0	1.007365
9.0	1.007365
10.0	1.007365
11.0	1.007365
12.0	1.007365
13.0	1.007365
14.0	1.007365
15.0	1.007365
16.0	1.007365
17.0	1.007365
18.0	1.007365
19.0	1.007365
20.0	1.007365
21.0	1.007365
22.0	1.007365
23.0	1.007365
24.0	1.007365
25.0	1.007365
26.0	1.007365
27.0	1.007365
28.0	1.007365
29.0	1.007365
30.0	1.007365
31.0	1.007365
32.0	1.007365
33.0	1.007365
34.0	1.007365
35.0	1.007365
36.0	1.007365
37.0	1.007365
38.0	1.007365
39.0	1.007365
40.0	1.007365
41.0	1.007365
42.0	1.007365
43.0	1.007365
44.0	1.007365
45.0	1.007365
46.0	1.007365
47.0	1.007365
48.0	1.007365
49.0	1.007365
50.0	1.007365
51.0	1.007365
52.0	1.007365
53.0	1.007365
54.0	1.007365
55.0	1.007365
56.0	1.007365
57.0	1.007365
58.0	1.007365
59.0	1.007365
60.0	1.007365
61.0	1.007365
62.0	1.007365
63.0	1.007365
64.0	1.007365
65.0	1.007365
66.0	1.007365
67.0	1.007365
68.0	1.007365
69.0	1.007365
70.0	1.007365
71.0	1.007365
72.0	1.007365
73.0	1.007365
74.0	1.007365
75.0	1.007365
76.0	1.007365
77.0	1.007365
78.0	1.007365
79.0	1.007365
80.0	1.007365
81.0	1.007365
82.0	1.007365
83.0	1.007365
84.0	1.007365
85.0	1.007365
86.0	1.007365
87.0	1.007365
88.0	1.007365
89.0	1.007365
90.0	1.007365
91.0	1.007365
92.0	1.007365
93.0	1.007365
94.0	1.007365
95.0	1.007365
96.0	1.007365
97.0	1.007365
98.0	1.007365
99.0	1.007365
100.0	1.007365

