## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/aligned_bam_files/C073_S68.sorted.bam] OUTPUT=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C073_S68.sorted_dedup.bam METRICS_FILE=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C073_S68.sorted_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 08 20:47:31 EAT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C073_S68	6	345	7	106	4	136	0	0.396552	312

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.998764
2.0	1.329311
3.0	1.438708
4.0	1.474913
5.0	1.486896
6.0	1.490861
7.0	1.492174
8.0	1.492608
9.0	1.492752
10.0	1.492799
11.0	1.492815
12.0	1.49282
13.0	1.492822
14.0	1.492823
15.0	1.492823
16.0	1.492823
17.0	1.492823
18.0	1.492823
19.0	1.492823
20.0	1.492823
21.0	1.492823
22.0	1.492823
23.0	1.492823
24.0	1.492823
25.0	1.492823
26.0	1.492823
27.0	1.492823
28.0	1.492823
29.0	1.492823
30.0	1.492823
31.0	1.492823
32.0	1.492823
33.0	1.492823
34.0	1.492823
35.0	1.492823
36.0	1.492823
37.0	1.492823
38.0	1.492823
39.0	1.492823
40.0	1.492823
41.0	1.492823
42.0	1.492823
43.0	1.492823
44.0	1.492823
45.0	1.492823
46.0	1.492823
47.0	1.492823
48.0	1.492823
49.0	1.492823
50.0	1.492823
51.0	1.492823
52.0	1.492823
53.0	1.492823
54.0	1.492823
55.0	1.492823
56.0	1.492823
57.0	1.492823
58.0	1.492823
59.0	1.492823
60.0	1.492823
61.0	1.492823
62.0	1.492823
63.0	1.492823
64.0	1.492823
65.0	1.492823
66.0	1.492823
67.0	1.492823
68.0	1.492823
69.0	1.492823
70.0	1.492823
71.0	1.492823
72.0	1.492823
73.0	1.492823
74.0	1.492823
75.0	1.492823
76.0	1.492823
77.0	1.492823
78.0	1.492823
79.0	1.492823
80.0	1.492823
81.0	1.492823
82.0	1.492823
83.0	1.492823
84.0	1.492823
85.0	1.492823
86.0	1.492823
87.0	1.492823
88.0	1.492823
89.0	1.492823
90.0	1.492823
91.0	1.492823
92.0	1.492823
93.0	1.492823
94.0	1.492823
95.0	1.492823
96.0	1.492823
97.0	1.492823
98.0	1.492823
99.0	1.492823
100.0	1.492823

