## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/aligned_bam_files/C045_S41.sorted.bam] OUTPUT=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C045_S41.sorted_dedup.bam METRICS_FILE=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C045_S41.sorted_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 08 20:44:21 EAT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C045_S41	18	93486	2879	82	10	61140	72	0.653992	34695

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000138
2.0	1.067723
3.0	1.07229
4.0	1.072599
5.0	1.07262
6.0	1.072621
7.0	1.072621
8.0	1.072621
9.0	1.072621
10.0	1.072621
11.0	1.072621
12.0	1.072621
13.0	1.072621
14.0	1.072621
15.0	1.072621
16.0	1.072621
17.0	1.072621
18.0	1.072621
19.0	1.072621
20.0	1.072621
21.0	1.072621
22.0	1.072621
23.0	1.072621
24.0	1.072621
25.0	1.072621
26.0	1.072621
27.0	1.072621
28.0	1.072621
29.0	1.072621
30.0	1.072621
31.0	1.072621
32.0	1.072621
33.0	1.072621
34.0	1.072621
35.0	1.072621
36.0	1.072621
37.0	1.072621
38.0	1.072621
39.0	1.072621
40.0	1.072621
41.0	1.072621
42.0	1.072621
43.0	1.072621
44.0	1.072621
45.0	1.072621
46.0	1.072621
47.0	1.072621
48.0	1.072621
49.0	1.072621
50.0	1.072621
51.0	1.072621
52.0	1.072621
53.0	1.072621
54.0	1.072621
55.0	1.072621
56.0	1.072621
57.0	1.072621
58.0	1.072621
59.0	1.072621
60.0	1.072621
61.0	1.072621
62.0	1.072621
63.0	1.072621
64.0	1.072621
65.0	1.072621
66.0	1.072621
67.0	1.072621
68.0	1.072621
69.0	1.072621
70.0	1.072621
71.0	1.072621
72.0	1.072621
73.0	1.072621
74.0	1.072621
75.0	1.072621
76.0	1.072621
77.0	1.072621
78.0	1.072621
79.0	1.072621
80.0	1.072621
81.0	1.072621
82.0	1.072621
83.0	1.072621
84.0	1.072621
85.0	1.072621
86.0	1.072621
87.0	1.072621
88.0	1.072621
89.0	1.072621
90.0	1.072621
91.0	1.072621
92.0	1.072621
93.0	1.072621
94.0	1.072621
95.0	1.072621
96.0	1.072621
97.0	1.072621
98.0	1.072621
99.0	1.072621
100.0	1.072621

